Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     KL City    ,    RM 700 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1470 sq.ft
Kuala-Lumpur,     Keramat    ,    RM 700 000     , 4 Bedrooms , 2 Bathrooms , Houses ,1650 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 355 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,927 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 360 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,922 sq.ft
Kuala-Lumpur,     Kuchai Lama    ,    RM 408 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,990 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 200 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 330 000     , 1 Bedroom , 1 Bathroom , Apartments ,533 sq.ft
Kuala-Lumpur,     Bangsar    ,    RM 300 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,900 sq.ft
Kuala-Lumpur,     Pandan Indah    ,    RM 270 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,896 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 255 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1266 sq.ft
Kuala-Lumpur,     Seputeh    ,    RM 650 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1400 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 440 000     , 4 Bedrooms , 2 Bathrooms , Houses ,960 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 830 000     , 4 Bedrooms , 4 Bathrooms , Houses ,2100 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 235 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,837 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 335 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1001 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 360 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,557 sq.ft
Kuala-Lumpur,     Mont Kiara    ,    RM 828 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1548 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 430 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,2750 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 430 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,2750 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 1 500 000     , 6 Bedrooms , 4 Bathrooms , Houses ,4000 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 1 850 000     , 5 Bedrooms , 5 Bathrooms , Houses ,3680 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 318 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1075 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 290 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,948 sq.ft
